nr,column_name,type,enum,regexp,pcre,description,explanation,description_url
1,column_name,name,,,,Name of the column in a CSV file,"If the CSV file under validation contains the header line (the first line), these names are used to identify columns. SHOULD follow programming language identifier syntax.",
2,column_number,integer,,^[0-9][0-9]*$,^[0-9]+$,Number of the column in the file,"If there is no header in the validates CSV file, the columns MUST be present in the order recorded in this field, and are identified by their position in the file (i.e. by the column order).",
3,type,name,"name,identifier,code,integer,float,string,boolean,url,…",,,Type of the column,"One of the predefined types, or a user defined type, for example ‘complex’, quaternion’, ‘octonion’,’doi’. If the enum value contains ‘…’, user-defined enumerator values are permissible.",
4,typedef,string,,,,User defined type definition,Human-readable description of the user defined type.,
5,typedef_url,url,,,,Formal type definition reference,A URL that points to a machine readable definition of the type that is used in for the column,
6,typedef_format,enum,"XML,JSON,YANL,CIF,RDA,Turtle",,,Specification of the type definition format,Specifies in which format the type definition is provided. The data stream that provide this format SHOULD specify which dictionaries or schemas this description stream conforms to.,
7,is_unique,boolean,"true,false,TRUE,FALSE,1,0",,,Boolean (logical) values,Can express values “true” and “false”.,
8,stddev_of,name,,,,The column is standard deviation,"The column name if a target column is specified as a value, for which the described column is a standard deviation. The target column and the described column MUST have the type ‘float’.",
9,can_be_null,boolean,,,,Specify if the column can be NULL,"The NULL, or NA value is specified by the =NA() function.",
10,can_be_empty,boolean,,,,Specify if the column can be empty,"Empty column is denoted as an empty CSV string. Note that this is not the same as NULL, or NA, value.",
11,regexp,string,,,,Regexp to match the value against,"Gives a regular expression that the column values must match. A subset of regular expressions that is common to Perl, PCRE, Java and Python MUST be used.",
12,pcre,string,,,,PCRE regexp to match the value against,Gives a Perl-Compatible Regular Expression (PCER) that the column values must match. MUST be supported by Perl 5.,
13,description,string,,,,A short description of the column,"A short, once sentence description of the column semantics (meaning) that can be displayed in a GUI.",
14,explanation,string,,,,A longer column description,"A longer description of the column semantics that explains the meaning, intended use and possible constraints on column values that are not specified in a formal way.",
15,min_length,integer,,,,Minimum length of the column value,The value 0 essentially means that the column MAY be an empty string,
16,max_length,integer,,,,Maximum length of the column value,"The length is measured in characters; for 8-bit encodings, this is the number of bytes; for Unicode, multi-byte characters MUST be counted as one character.",
17,enum,string,,,,Enumerator of the column values,"Enumerates all possible values of the column, separated by a string specified in the ‘enum_separator’ column. If the ‘enum_separator’ is not given, the default value comma (“,”) MUST be used.",
18,enum_separator,string,,,,Specifies the separator for enum values,"Values in the ‘enum’ column MUST be separated by this character. If the ‘enum_separator’ is specified in a metadata file for a column, it is used for that column.",
19,units,string,,,,Measurement units for the column,"Specifies measurements units (as a string from the GNU Units file, see ‘urldef’), ‘dimensionless’ or ‘inapplicable’.",https://www.gnu.org/software/units/
20,description_url,url,,,,URL of the value definition,Specifies URL which SHOULD host a human readable description of the values in this column.,
21,definition_url,url,,,,URL of the formal value definition,Specifies URL which SHOULD host a machine-readable definition of the values in this column.,
22,definition_format,enum,"XML,JSON,YANL,CIF,RDA,Turtle",,,Specification of the type definition format,Specifies in which format the value semantics definition is provided. The data stream that provide this format SHOULD specify which dictionaries or schemas this description stream conforms to.,
23,min_value,float,,,,Minimum value permissible for this column,Applicable to ‘integer’ and ‘float’ type columns; possibly for some user-defined columns.,
24,max_value,float,,,,Maximum value permissible for this column,Applicable to ‘integer’ and ‘float’ type columns; possibly for some user-defined columns.,
25,nr,integer,,,,Number of the column description,Number of the column description in the meta file. Is *not* the same as the ‘column_number’!,
