nr	column_name	column_number	type	description	explanation
1	NAnsw	1	integer	Number of answers	Number of answers that were encoded for this particular question
2	File	2	string	A file name	The name of the original YAML file in which the answers to this question were recorded
3	Key	3	string	The topic key	Gives a unique programmatic key for the topic; that key should not change even if the textual description of the topic is modified
4	Quest	4	string	The question text	The question text from the original encoding YAML files where multiple answers to that question were collected
5	Discrepancies?	5	boolean	were there discrepancies in the answers	Indicates, when ‘true’, that the encoded answers contradict each others. This involves semantic (human) judgment, so the value ‘false’ does NOT meant that all answers are textually identical.
6	IdxCorrect	6	integer	Index of the correct answer’s column	Specifies which answer is judged to be correct in this encoding. The column of the correct answer is 9 + IdxCorrect value. Note that this file records only 3 answers do the original correct answer column might not be present in this file.
7	AnsKeys	7	string	YAML/JSON keys of the answers	Lists what keys did the answers have, separated by commas. The software that produced this file may assume that the keys were all numbers, placed in order, so the AnsKeys for a question with 2 answers should be “0:,1:” and so on. The result MIGHT be incorrect of the keys do not follow this convention
8	Selected	8	string	The selected “correct” answer	The answer which was selected as correct in for this particular question. Its column is indicated by the value in IdxCorrect
9	Answer1	9	string	The first answer	The first encoded answer from the YAML file
10	Answer2	10	string	The seconf answer	The seconf encoded answer from the YAML file
11	Answer3	11	string	The third answer	The third encoded answer from the YAML file
