# 2024-12-06 14:56:07 EET
kind,count,key,text
topics,1,rdp_exist,"1. Existence of research data policy"
answers,3,,"Research Data Policy (RDP) does not exists."
answers,63,,"Research Data Policy (RDP) exists."
topics,1,data_sharing,"3. Data sharing requirements in RDP"
answers,44,,"Data sharing encouraged but optional."
answers,3,,"Data sharing only with editors and referees (no public sharing)"
answers,1,,"Data sharing required but not publicly (e.g. available upon request is allowed)."
answers,8,,"Public data sharing of all data required."
answers,10,,"Public data sharing required only for specific types of data."
topics,1,data_fair,"4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)"
answers,27,,"Public data sharing on a FAIR repository encouraged."
answers,30,,"Public data sharing on a FAIR repository not mentioned in RDP."
answers,9,,"Public data sharing on a FAIR repository required only for specific types of data (e.g. genetic data has to be shared on a FAIR repository but no other data)."
topics,1,data_availability,"2. Data availability statement"
answers,25,,"Mentioned in the RDP but optional."
answers,3,,"Not mentioned in the RDP."
answers,38,,"Required according to the RDP."
topics,1,data_citability,"5. Citability and findability of data "
answers,57,,"DOIs or other persistent identifiers recommended for datasets or codes."
answers,6,,"DOIs or other persistent identifiers required for datasets or codes."
answers,3,,"No mention of DOIs or other persistent identifiers for datasets or codes."
topics,1,data_timing,"7. Timing of data release"
answers,7,,"Required data must be available after official publication."
answers,36,,"Required data must be available prior to official publication."
answers,19,,"Required data must be available prior to review process."
answers,4,,"Timing of data availability not adressed in RDP."
topics,1,data_sharing_method,"8. Recommended data sharing method"
answers,9,,"Data sharing in supplementary material or hosting by journal recommended in RDP."
answers,3,,"No data sharing method recommended in RDP."
answers,54,,"Public online repositories recommended in RDP."
topics,1,data_licenses,"9. Recommended/required licenses"
answers,12,,"Explicit mention of a certain license/license type in RDP."
answers,54,,"No mention of data/code licenses in RDP."
topics,1,data_referee,"10. Referee guidelines concerning research data"
answers,3,,"Additional data or code referee (referee that solely confirms that code and data are shared following the RDP)."
answers,14,,"Data sharing policy mentioned in refereeing guidelines."
answers,49,,"Data sharing policy not mentioned in refereeing guidelines."
topics,1,data_recommended,"11. Unique policies for data types"
answers,18,,.nan
answers,7,,"Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below. Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data"
answers,32,,"no text"
answers,9,,"no text."
topics,1,data_required,"12. Unique policies for data types"
answers,9,,.nan
answers,7,,"Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data"
answers,9,,"DNA sequence data; RNA sequence data; Genome assembly data; Protein sequence data; Proteomics data; Genetic variation data; Functional genomics data; Macromolecular structure data; Gene expression data; Crystallographic data for small molecules"
answers,32,,"no text"
answers,9,,"no text."
topics,1,code_required,"13. Code sharing requirements"
answers,53,,"Code sharing encouraged but optional."
answers,12,,"Code sharing not mentioned."
answers,1,,"Code sharing required."
topics,1,code_reproducibility,"14. Code Reproducibility"
answers,66,,"No mention of dependencies for research code."
topics,1,code_versioning,"15. Versioning and persistent identifiers"
answers,18,,"Journal policies encourage/recommend a persistent identifier or specifying a version of developed code."
answers,48,,"No mention of a persistent identifier or specifying a version of developed code."
topics,1,code_quality,"16. Code Quality Standards"
answers,56,,"The journal policies do not mention any code quality standards."
answers,7,,"The journal policies encourage/recommend certain standards for code."
answers,3,,"The journal policies require code of articles to fulfill certain standards."
topics,1,code_autotest,"17. Automatic Testing"
answers,66,,"No mention of automatic testing to verify code functionality."
topics,1,code_docs,"18. Code Documentation"
answers,63,,"No mention of standards for code documentation."
answers,3,,"The journal policies encourage/recommend standards for code documentation."
topics,1,code_linting,"19. Linting Standards"
answers,66,,"No mention of linting standards for code."
topics,1,code_development,"20. Code Development"
answers,59,,"No mention of standards for code development such as continuous integration."
answers,7,,"The journal policies encourage/recommend standards for code development such as continuous integration."
