Publisher,"Journal name or names, in case these replies apply to multiple journals (please separate the names by comma):","Age (publisher and/or journal, approximate number)",
ACS,Accounts of Chemical Research,1968,
ACS,JACS,1879,
ACS,accounts of materials research,2020,
ACS,environmental science and technology,1967,
ACS,ACS Omega,2016,
ACS,journal of chemical physics C,1933,
ACS,inorganic chemistry,1962,
ACS,JACS Au,2021,
ACS,ACS ES&T engineering,2020,
ACS,Journal of medicinal chemistry,1958,
ACS,journal of the american society for mass spectroscopy,2020,
ACS ,ACS Energy Letters,2016,
ACS ,ACS applied materials and interfaces,2009,
AIP Publishers,"Review of scientific instruments, Physics of fluids,",1930,
AIP Publishers,Structural Dynamics,2014,
AIP Publishers,Physics of Plasmas,1994,
AIP Publishing,https://publishing.aip.org/resources/researchers/open-science/research-data-policy/,1931,
AIP Publishing,"Applied Physics Reviews, APL Photonics, Applied Physics Letters, APL Materials, Journal of Applied Physics, AIP Advances, Review of Scientific Instruments, Low Temperature Physics, Chinese Journal of Chemical Physics, Physics of Fluids, Journal of Mathematical Physics",1980,
AIP Publishing,The Journal of Chemical Physics,1933,
AIP Publishing,Structural Dynamics,2014,
AIP Publishing,Physics of Plasmas,1994,
AIP Publishing,Applied Physics Reviews,2014,
AIP Publishing,APL Photonics,2016,
AIP Publishing,The Journal of chemical physics,1933,
AIP Publishing,Journal of Applied Physics,1931,
AIP Publishing,AIP Advances,2011,
American Chemical Society (ACS),ACS Energy Letters,2016,
American Chemical Society (ACS),Accounts of Materials Research - Acc. Mater. Res.,2020,
American Chemical Society (ACS),Environmental Science and Technology - Environ. Sci. Technol.,1967,
American Chemical Society (ACS),ACS Applied Materials & Interfaces - ACS Appl. Mater. Interfaces.,2009,
American Chemical Society (ACS),ACS Omega,2016,
American Chemical Society (ACS),The Journal of Physical Chemistry C - J. Phys. Chem. C,1933,
American Chemical Society (ACS),Journal of the American Chemical Society - JACS,1879,
American Chemical Society (ACS),Inorganic Chemistry,1962,
American Chemical Society (ACS),JACS Au,2021,
American Chemical Society (ACS),The Journal of Organic Chemistry,1936,
American Chemical Society (ACS),ACS ES&T Engineering,2020,
American Chemical Society (ACS),Journal of Medicinal Chemistry,1958,
American Chemical Society (ACS),Journal of The American Society for Mass Spectrometry,2020,
American Chemical Society (ACS),ChemRxiv,2017,
American Physical Society (APS),"Physical Review X, PRX Quantum, Physical Review Letters, Physical Review Research, Physical Review C, Physical Review B, Physical Review A, Physical Review Materials, Physical Review Applied, Physical Review E, Physical Review D.",2011,
Bentham Science Publishers,"Mini-Reviews in Organic Chemistry, Current Organic Chemistry, Current Nanoscience, Current Organocatalysis, Letters in Organic Chemistry, Current Organic Synthesis",1994,
CODATA (https://codata.org/),Data Science Journal,2002,
EDP Sciences,"E3S Web of Conferences, MATEC Web of Conferences, EPJ Web of Conferences",1920,
EDP Sciences,Astronomy & Astrophysics,1920,
EDP Sciences,Journal of the European Optical Society-Rapid Publications,1920,
EDP Sciences,Metallurgical Research & Technology,1903,
ELSEVIER,SSRN Electronic Journal,1994,
ELSEVIER,"Applied catalysis b: environment and energy, Chemical Engineering Journal, International Journal of Thermal Sciences, Composites Science and Technology, Optical Materials",1992,
ELSEVIER,Energy Storage Materials,2015,
ELSEVIER,Materials Today: Proceedings,2014,
Elsevier,eScience,2021,
Elsevier,Applied Catalysis B Environmental,2007,
Elsevier,Energy Storage Materials,2015,
Elsevier,Chemical Engineering Journal,2006,
Elsevier,International Journal of Thermal Sciences,2007,
Elsevier,Composites Science and Technology,2007,
Elsevier,Optical Materials,2007,
Frontiers,"Frontiers in Bioengineering and Biotechnology, Frontiers in Chemistry, Frontiers in Energy Research, Frontiers in Nanotechnology, Frontiers in Chemical Engineering, Frontiers in Materials, Frontiers in Physics",2007,
Frontiers,"Frontiers in Bioengineering and Biotechnology, Frontiers in Chemistry, Frontiers in Energy Research, Frontiers in Nanotechnology, Frontiers in Chemical Engineering, Frontiers in Materials, Frontiers in Physics",2007,
IEEE,"IEEE Transactions on Transportation Electrification, IEEE Transactions on Industrial Electronics, IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control, IEEE Robotics and Automation Letters, IEEE Transactions on Dielectrics and Electrical Insulation",1954,
Institute of Electrical and Electronics Engineers (IEEE),"IEEE Transactions on Transportation Electrification, IEEE Transactions on Industrial Electronics, IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control, IEEE Robotics and Automation Letters, IEEE Transactions on Dielectrics and Electrical Insulation, IEEE Transactions on Electron Devices, IEEE Sensors Journal, IEEE Transactions on Applied Superconductivity, IEEE Electron Device Letters, Journal of Lightwave Technology, IEEE Sensors Letters, IEEE Access, IEEE Journal of Selected Topics in Quantum Electronics, IEEE Journal of Photovoltaics, IEEE Photonics Journal",1954,
IOP,"2D Materials, Quantum Science and Technology, Journal of Physics Photonics, Plasma Sources Science and Technology, New Journal of Physics, Nanotechnology, Journal of Physics Condensed Matter, Materials Research Express, Smart Materials and Structures, Journal of Physics Energy, Journal of Physics D",2014,
