,Publisher Name,"Journal name or names, in case these replies apply to multiple journals (please separate the names by comma):",Please link to the research data policy and referee guidelines of the respective journal:,1. Existence of research data policy,Please add the text from the RDP that supports your answer below:,3. Data sharing requirements in RDP,Please add the text from the RDP that supports your answer below:.1,4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR),Please add the text from the RDP that supports your answer below:.2,2. Data availability statement,Please add the text from the RDP that supports your answer below:.3,5. Citability and findability of data ,Please add the text from the RDP that supports your answer below:.4,7. Timing of data release,Please add the text from the RDP that supports your answer below:.5,8. Recommended data sharing method,Please add the text from the RDP that supports your answer below:.6,9. Recommended/required licenses,Please add the text from the RDP that supports your answer below:.7,10. Referee guidelines concerning research data,Please add the text from the RDP that supports your answer below:.8,"11. Unique policies for data types
Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)","12. Unique policies for data types
Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)",13. Code sharing requirements,Please add the text from the RDP that supports your answer below:.9,14. Code Reproducibility,Please add the text from the RDP that supports your answer below:.10,15. Versioning and persistent identifiers,Please add the text from the RDP that supports your answer below:.11,16. Code Quality Standards,Please add the text from the RDP that supports your answer below:.12,17. Automatic Testing,Please add the text from the RDP that supports your answer below:.13,18. Code Documentation,Please add the text from the RDP that supports your answer below:.14,19. Linting Standards,Please add the text from the RDP that supports your answer below:.15,20. Code Development,Please add the text from the RDP that supports your answer below:.16
3,Optica Publishing Group,"Optica, Photonics Research, Biomedical Optics Express, Optics Express, Optics Letters, Applied Optics, Journal of the Optical Society of America B, Optical Materials Express, Optics Continuum","https://opg.optica.org/content/author/portal/item/review-general-policies/
https://opg.optica.org/content/reviewer/portal/item/guidelines-for-reviewers/",Research Data Policy (RDP) exists.,"Data Availability Statement: Under this new policy, all authors must declare if and how any data that were generated or analyzed as part of the current study can be accessed.",Data sharing encouraged but optional.,"We strongly encourage authors to make research data associated with their manuscripts publicly available where possible, and to use best practices when selecting data repositories and citing datasets.",Public data sharing on a FAIR repository not mentioned in RDP.,no text.,Required according to the RDP.,"Information about how to access the data underlying the results presented in a paper should be provided in a Data Availability Statement (DAS) and, where possible, datasets should be cited in the reference list.",DOIs or other persistent identifiers recommended for datasets or codes.,(link in the review-general-policies): You create Digital Object Identifiers (DOIs) to make your research outputs and resources discoverable and citable for the long term.,Required data must be available prior to review process.,Optica journals allow authors to include supplementary materials as integral parts of a manuscript. Such materials are subject to peer-review procedures along with the rest of the paper and should be uploaded and described using Optica's Prism manuscript system.,Data sharing in supplementary material or hosting by journal recommended in RDP.,"Certain other supplementary materials—such as videos and machine-readable data tables—can be submitted as stand-alone files for hosting on OSA's Figshare portal. The material in figshare will not be publically accessible during peer review. Datasets and code may be uploaded to the Optica figshare portal or be placed in an appropriate external repository. Original contributions of large datasets should be placed in an open, archival database and cited in the main reference section.",No mention of data/code licenses in RDP.,no text.,Data sharing policy not mentioned in refereeing guidelines.,no text.,no text.,no text.,Code sharing encouraged but optional.,"Authors who wish to include larger datasets, code files, or simulation files are encouraged to place those items in OSA's Figshare portal or an appropriate archival repository and cite them as described in OSA's Author Guidelines for Supplementary Materials.",No mention of dependencies for research code.,no text.,No mention of a persistent identifier or specifying a version of developed code.,no text.,The journal policies do not mention any code quality standards.,no text.,No mention of automatic testing to verify code functionality.,no text.,No mention of standards for code documentation.,no text.,No mention of linting standards for code.,no text.,No mention of standards for code development such as continuous integration.,no text.
4,Frontiers,"Frontiers in Bioengineering and Biotechnology, Frontiers in Chemistry, Frontiers in Energy Research, Frontiers in Nanotechnology, Frontiers in Chemical Engineering, Frontiers in Materials, Frontiers in Physics","https://www.frontiersin.org/guidelines/policies-and-publication-ethics#materials-and-data-policies
https://www.frontiersin.org/about/peer-review",Research Data Policy (RDP) exists.,"We strongly encourage sharing the maximal amount of data; however where ethical, legal or privacy issues are present the data should not be shared. In cases where some or all data cannot be shared for legal, ethical or privacy restrictions, the authors should make these limitations clear in the Data Availability Statement at the time of submission. In situations where access is restricted to protect confidential or proprietary information, authors are required to explain the restrictions on the dataset and make the data available upon request with permission of the third party. The Data Availability Statement should include all necessary contact information to request access to the dataset.",Public data sharing of all data required.,"Frontiers requires that authors make the ""minimal data set"" underlying the findings described and used to reach the conclusions of the manuscript, available to any qualified researchers. However, exceptions are granted if data cannot be made publicly available for legal or ethical reasons.",Public data sharing on a FAIR repository encouraged.,"The data should be FAIR – findable, accessible, interoperable, and reusable – so that other researchers can locate and use the data. ",Required according to the RDP.,"Data availability statements are required for all articles published with Frontiers. During the submission process, authors will be asked to detail the location of the raw data underlying the conclusions made in the manuscript, and whether it will be made available to other researchers following publication. Authors will also be asked for the details of any existing datasets that have been analyzed in the manuscript.",DOIs or other persistent identifiers recommended for datasets or codes.,"Authors are encouraged to cite all datasets generated or analyzed in the study. Where datasets are cited, they should be included in the references list to maximize future usability.

The following format should be used:
[DATASET] Author names. (year) Data Title. Repository name. Version. Persistent identifier.",Required data must be available after official publication.,"To comply with best practice in their field of research, authors are required to make certain types of data available to readers at the time of publication in specific, stable, community-supported repositories such as those listed below. Authors are encouraged to contact our data availability office at datapolicy [at] frontiersin.org prior to submission with any queries concerning data reporting.",Public online repositories recommended in RDP.,"To comply with best practice in their field of research, authors are required to make certain types of data available to readers at the time of publication in specific, stable, community-supported repositories such as those listed below. ",No mention of data/code licenses in RDP.,no text,Data sharing policy not mentioned in refereeing guidelines.,no text,"Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below.
Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data","Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript.
Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data",Code sharing encouraged but optional.,"We strongly encourage sharing original code where possible. In situations where custom code is proprietary, an exception will be granted providing that all relevant software needed to replicate the results of the study are available commercially for researchers. Details of the proprietary software used should be listed in the materials and methods section.",No mention of dependencies for research code.,no text,Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.,"Code necessary to enable the reproduction of an experiment should be clearly indicated in the Materials and Methods section, and where possible code should be uploaded to an online repository (such as github.com or code ocean) providing a global persistent link/identifier.",The journal policies encourage/recommend certain standards for code.,"Our policies on code availability are informed by community-driven standards, which Frontiers endorses, such as the Transparency and Openness (TOP) guidelines and the joint declaration of data citation principles produced by FORCE11.",No mention of automatic testing to verify code functionality.,no text,No mention of standards for code documentation.,no text,No mention of linting standards for code.,no text,No mention of standards for code development such as continuous integration.,no text
5,Bentham Science Publishers,"Mini-Reviews in Organic Chemistry, Current Organic Chemistry, Current Nanoscience, Current Organocatalysis, Letters in Organic Chemistry, Current Organic Synthesis","https://www.benthamscience.com/pages/author-guidelines
https://www.benthamscience.com/public/reviewers-guidelines/",Research Data Policy (RDP) exists.,"The source of data and materials should be mentioned in the manuscript, in support of the findings. Sharing research data is integral to its transparency and reproducibility. Data sharing involves the citation and availability of data that support the findings of the research.",Data sharing encouraged but optional.,"Bentham Science encourages authors to share the source of data and materials in the manuscript, in support of the findings.",Public data sharing on a FAIR repository not mentioned in RDP.,no text,Required according to the RDP.,Data availability declarations are required under Bentham Science research data policy types.,DOIs or other persistent identifiers required for datasets or codes.,"Whether the data was developed by the author(s) or researcher(s), all publicly available data referenced in the preparation of an article should be cited in the text and reference list. The references relating to the data availability should be presented in the following format:

Example: Name of author(s), the title of data set, data repository, document version (e.g., most recent updated version), Digital Object Identifier (DOI), and Bentham Science reference style should be included in data citations.",Required data must be available prior to review process.,"All datasets on which the paper's conclusions are based must be made accessible to reviewers and readers, according to the journal's rules. Prior to peer review, authors must either deposit their datasets in publicly accessible repositories or provide them as supplementary materials with their submission.",Public online repositories recommended in RDP.,"Wherever appropriate and possible, the journal encourages authors to publish data to support their research findings in a public repository.",No mention of data/code licenses in RDP.,no text,Data sharing policy mentioned in refereeing guidelines.,The manuscript should adhere to suitable reporting guidelines and community standards for data availability. Bentham Science seeks to disseminate research and therefore stipulates that the public deposition of data is as per the followed standards,no text,no text,Code sharing not mentioned.,no text,No mention of dependencies for research code.,no text,No mention of a persistent identifier or specifying a version of developed code.,no text,The journal policies do not mention any code quality standards.,no text,No mention of automatic testing to verify code functionality.,no text,No mention of standards for code documentation.,no text,No mention of linting standards for code.,no text,No mention of standards for code development such as continuous integration.,no text
6,EDP Sciences,"E3S Web of Conferences, MATEC Web of Conferences, EPJ Web of Conferences","https://www.e3s-conferences.org/about-the-journal/publishing-policies-ethics
https://www.matec-conferences.org/about-the-journal/publishing-policies-ethics
https://www.epj-conferences.org/about-the-journal/publishing-policies-ethics",Research Data Policy (RDP) does not exists.,no text.,Data sharing only with editors and referees (no public sharing),no text.,Public data sharing on a FAIR repository not mentioned in RDP.,no text.,Not mentioned in the RDP.,no text.,No mention of DOIs or other persistent identifiers for datasets or codes.,no text.,Timing of data availability not adressed in RDP.,no text.,No data sharing method recommended in RDP.,no text.,No mention of data/code licenses in RDP.,no text.,Data sharing policy not mentioned in refereeing guidelines.,no text.,no text.,no text.,Code sharing not mentioned.,no text.,No mention of dependencies for research code.,no text.,No mention of a persistent identifier or specifying a version of developed code.,no text.,The journal policies do not mention any code quality standards.,no text.,No mention of automatic testing to verify code functionality.,no text.,No mention of standards for code documentation.,no text.,No mention of linting standards for code.,no text.,No mention of standards for code development such as continuous integration.,no text.
7,EDP Sciences,Astronomy & Astrophysics,"https://www.aanda.org/for-authors/author-information/paper-organization#Data%20policy
No referee guidelines.",Research Data Policy (RDP) exists.,It is mandatory for A&A authors to publish the data that are presented and discussed in articles and needed to reproduce the results.,Public data sharing of all data required.,"By contract with A&A, the CDS stores the data that are published in A&A articles and graciously puts them at the disposal of the global community.",Public data sharing on a FAIR repository not mentioned in RDP.,no text.,Not mentioned in the RDP.,no text.,No mention of DOIs or other persistent identifiers for datasets or codes.,no text.,Required data must be available prior to official publication.,"Publication of the data, usually at the CDS (see below), should occur immediately upon acceptance of the article referencing them.",Public online repositories recommended in RDP.,"When primary data presented in articles are not publicly available through an institutional archive (e.g., the IRAM spectroscopic data), the calibrated data will be archived at the CDS. By contract with A&A, the CDS stores the data that are published in A&A articles and graciously puts them at the disposal of the global community.",No mention of data/code licenses in RDP.,no text.,Data sharing policy not mentioned in refereeing guidelines.,no text.,no text.,measurements of radial velocities leading to the detection of planetary or stellar companions to stars; the photometric data used in asteroseismologic studies,Code sharing not mentioned.,no text.,No mention of dependencies for research code.,no text.,No mention of a persistent identifier or specifying a version of developed code.,no text.,The journal policies do not mention any code quality standards.,no text.,No mention of automatic testing to verify code functionality.,no text.,No mention of standards for code documentation.,no text.,No mention of linting standards for code.,no text.,No mention of standards for code development such as continuous integration.,no text.
8,EDP Sciences,Journal of the European Optical Society-Rapid Publications,"https://jeos.edpsciences.org/about-the-journal/ethical-standards#6-Data-sharing
https://jeos.edpsciences.org/about-the-journal/ethical-standards#3-Peer-review-process",Research Data Policy (RDP) exists.,JEOS-RP follows EDP Sciences Data sharing and Citation Policy.,Data sharing encouraged but optional.,EDP Sciences journals encourage authors to share and make data if legally and ethically possible.,Public data sharing on a FAIR repository encouraged.,"EDP Sciences Policy is to encourage authors to prepare and deposit their data according to the FAIR (Findable, Accessible, Interoperable and Re-usable) principles.",Required according to the RDP.,A relevant statement may be inserted by authors in their article to state if their manuscript has associated data and where the data has been deposited. Alternatively authors could write: This article has no associated data generated and/or analyzed / Data associated with this article cannot be disclosed due to legal/ethical/other reason.,No mention of DOIs or other persistent identifiers for datasets or codes.,no text.,Timing of data availability not adressed in RDP.,no text.,No data sharing method recommended in RDP.,no text.,No mention of data/code licenses in RDP.,no text.,Data sharing policy not mentioned in refereeing guidelines.,no text.,no text.,no text.,Code sharing not mentioned.,no text.,No mention of dependencies for research code.,no text.,No mention of a persistent identifier or specifying a version of developed code.,no text.,The journal policies do not mention any code quality standards.,no text.,No mention of automatic testing to verify code functionality.,no text.,No mention of standards for code documentation.,no text.,No mention of linting standards for code.,no text.,No mention of standards for code development such as continuous integration.,no text.
9,EDP Sciences,Metallurgical Research & Technology,"https://www.metallurgical-research.org/author-information/instructions-for-authors#Data-sharing-policy
https://www.metallurgical-research.org/about-the-journal/ethical-standards#7-Data-sharing
https://www.metallurgical-research.org/about-the-journal/ethical-standards#5-Peer-review-process",Research Data Policy (RDP) exists.,Metallurgical Research & Technology follows EDP Sciences Data sharing and Citation Policy.,Data sharing encouraged but optional.,"Authors may be invited to share with the peer reviewers during the article evaluation process in a confidential manner the data on which the research is based. Further, as long as the publication of data is not in opposition with patients’ privacy (in the case of a medical application), authors are invited to upload supplemental datasets related to their research to an online repository.",Public data sharing on a FAIR repository encouraged.,"Providing that it is legal and ethical for authors to do so, the EDP Sciences Policy is to encourage authors to prepare and deposit their data according to the FAIR (Findable, Accessible, Interoperable and Re-usable) principles",Required according to the RDP.,"If legally and ethically possible, authors should indicate whether or not their manuscript has associated data and where positive (and appropriate), if the data has been deposited in a data repository [whose location should be disclosed here]. Alternatively authors could write: This article has no associated data generated and/or analyzed / Data associated with this article cannot be disclosed due to legal/ethical/other reason.",DOIs or other persistent identifiers recommended for datasets or codes.,"The dataset should be findable through a complete set of metadata, including a license for re-use and a data identifier (DOI or other).",Required data must be available prior to review process.,Authors may be invited to share with the peer reviewers during the article evaluation process in a confidential manner the data on which the research is based.,Public online repositories recommended in RDP.,Authors are invited to upload supplemental datasets related to their research to an online repository. ,No mention of data/code licenses in RDP.,no text.,Data sharing policy not mentioned in refereeing guidelines.,no text.,no text.,no text.,Code sharing not mentioned.,no text.,No mention of dependencies for research code.,no text.,No mention of a persistent identifier or specifying a version of developed code.,no text.,The journal policies do not mention any code quality standards.,no text.,No mention of automatic testing to verify code functionality.,no text.,No mention of standards for code documentation.,no text.,No mention of linting standards for code.,no text.,No mention of standards for code development such as continuous integration.,no text.
10,ELSEVIER,SSRN Electronic Journal,"https://www.elsevier.com/researcher/author/tools-and-resources/research-data, 
https://www.elsevier.com/about/policies-and-standards/research-data
https://www.ssrn.com/index.cfm/en/terms-of-use/",Research Data Policy (RDP) exists.,"Elsevier's RDP: SSRN, as part of Elsevier, aligns with its parent company's commitment to transparency, reproducibility, and integrity in scholarly research. This includes the encouragement of data sharing, providing data availability statements, and using reliable repositories for data storage​ (SSRN)​​ (Publishing Perspectives)​.",Data sharing encouraged but optional.,"Is it compulsory to share my research data?
No. Our policy is clear in that we encourage and support authors to share their research data rather than mandating them to do so, and provide tools and services to enable them to do this effectively. Where there is community support for (often discipline-specific) mandates regarding data deposit, submission and sharing, some of our journals may reflect this with their own mandatory data sharing policies. Please check your journal's guide for authors for specific information.",Public data sharing on a FAIR repository encouraged.,"Elsevier collaborates with a number of repositories to link articles on ScienceDirect with relevant repositories, giving readers access to underlying data that gives them a better understanding of the research described. Elsevier is a co-founder of Force11, Co-author FAIR Data principles, https://www.elsevier.com/about/open-science/research-data#0-effective-data",Mentioned in the RDP but optional.,"Make it easier for researchers to comply with data management requirements, for example, by supporting data availability statements to enhance transparency",DOIs or other persistent identifiers recommended for datasets or codes.,"for publisher: Develop tools and services to support researchers to discover, use and reuse data to further their research, for example, by encouraging and enabling two-way linking of relevant datasets and publications using permanent standard identifiers",Timing of data availability not adressed in RDP.,no text,Multiple data sharing methods equally recommended in RDP.,"When publishing with Elsevier, researchers will be able to make their research data freely accessible, for example, by depositing research data in Mendeley Dataopens in new tab/window, where it will be published under your choice of reuse license and linked to your journal article. We can also link your article to your dataset stored in a domain-specific repository. ",No mention of data/code licenses in RDP.,no text,Data sharing policy not mentioned in refereeing guidelines.,no text,no text,no text,Code sharing not mentioned.,no text,No mention of dependencies for research code.,no text,No mention of a persistent identifier or specifying a version of developed code.,no text,The journal policies do not mention any code quality standards.,no text,No mention of automatic testing to verify code functionality.,no text,No mention of standards for code documentation.,no text,No mention of linting standards for code.,no text,No mention of standards for code development such as continuous integration.,no text
11,ACS,"Accounts of Chemical Research
",https://publish.acs.org/publish/author_guidelines?coden=achre4 ; https://publish.acs.org/publish/data_policy,Research Data Policy (RDP) exists.,"Research Data Policy
All ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication.

Research data is defined as materials and information used in the experiments that enable the validation of the conclusions drawn in the article, including primary data produced by the authors for the study being reported, secondary data reused or analyzed by the authors for the study, and any other materials necessary to reproduce or replicate the results.

The ACS Research Data Policy provides additional information on Data Availability Statements, Data Citation, and Data Repositories.",Data sharing encouraged but optional.,All ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication.,Public data sharing on a FAIR repository required only for specific types of data (e.g. genetic data has to be shared on a FAIR repository but no other data).,"Choosing an Appropriate Data Repository

Where possible, ACS recommends authors deposit data in discipline-specific, community-recognized repositories or in generalist repositories when no community resource is available. Authors should consult the journal Author Guidelines for specific repository recommendations or requirements for data types.

ACS strongly encourages authors to select a repository that issues a persistent unique identifier, such as a DOI or an Accession Number. This will help facilitate the discoverability and citation of deposited data. Repositories that focus on research data, are managed by a sustainable institution (such as a professional society or university), have a plan for long-term storage of and access to the data, and provide clear information about terms of use of the data are preferred.

To find an appropriate repository, authors may refer to re3data.org and FAIRsharing.org for information on available repositories, their certification status, and services offered.

...

What about CIF data?

ACS has a formal procedure for submitting Crystallographic Information Files (CIFs), which are required for some journals. This procedure does not fall under the Data Availability Statement process: Authors should continue to follow the CIF procedure, which includes submitting information to CCDC prior to manuscript submission and providing CCDC deposition numbers with their manuscript when asked during online submission.",Mentioned in the RDP but optional.,"Is a Data Availability Statement required for publication?
ACS is conducting a Data Availability Statement pilot program with Organic Letters, The Journal of Organic Chemistry, and ACS Organic & Inorganic Au. A Data Availability Statement is required for these three journals during the pilot program for all peer-reviewed articles. Manuscripts submitted to these journals prior to September 15, 2022 will not be included in the pilot. A Data Availability Statement is not required for other ACS journals at this time but is highly encouraged. With results from the pilot program, ACS will decide on future requirements for all its journals.

Is a Data Availability Statement required for every article?
A Data Availability Statement is required for all peer-reviewed articles in Organic Letters, The Journal of Organic Chemistry, and ACS Organic & Inorganic Au. A Data Availability Statement is not required for the following non-peer-reviewed articles, but is encouraged if new data are being presented: Addition/Correction, Editorial, Expression of Concern, or Retraction.",DOIs or other persistent identifiers recommended for datasets or codes.,"Data Availability Statements
A Data Availability Statement should describe the availability of the data underlying the conclusions drawn in the research article and provide a means of access, where applicable, by linking to the data, preferably through the use of a persistent identifier such as a DOI or an Accession Number assigned by a data repository. The Data Availability Statement should be included in the manuscript under the Associated Content heading with the Supporting Information.

",Required data must be available after an embargo period.,"ACS Research Data Policy
Where ethically and legally feasible, all ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication. For the purposes of this policy, research data is defined as materials and information used in the experiments that enable the validation of the conclusions drawn in the article. This includes primary data produced by the authors for the study being reported, secondary data reused or analyzed by the authors for the study, and any other materials necessary to reproduce or replicate the results. To ensure data accessibility, we encourage the use of open licenses for reuse of data, such as Creative Commons CC BY. You can learn more about standard reuse licenses at the Open Access Licensing Options page on the ACS Publications website.

...

Exceptions
Exceptions to data availability requirements or embargoes delaying data release are available where legal or ethical issues prevent immediate public sharing. This includes data that may reveal personal information of research subjects, data where informed consent for public sharing was not granted, and other legitimate restrictions. In such cases, please contact the relevant journal editorial office to disclose the rationale and request an exception.",Public online repositories recommended in RDP.,"Choosing an Appropriate Data Repository
Where possible, ACS recommends authors deposit data in discipline-specific, community-recognized repositories or in generalist repositories when no community resource is available. Authors should consult the journal Author Guidelines for specific repository recommendations or requirements for data types.

ACS strongly encourages authors to select a repository that issues a persistent unique identifier, such as a DOI or an Accession Number. This will help facilitate the discoverability and citation of deposited data. Repositories that focus on research data, are managed by a sustainable institution (such as a professional society or university), have a plan for long-term storage of and access to the data, and provide clear information about terms of use of the data are preferred.

To find an appropriate repository, authors may refer to re3data.org and FAIRsharing.org for information on available repositories, their certification status, and services offered.",Explicit mention of a certain license/license type in RDP.,"ACS Research Data Policy
Where ethically and legally feasible, all ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication. For the purposes of this policy, research data is defined as materials and information used in the experiments that enable the validation of the conclusions drawn in the article. This includes primary data produced by the authors for the study being reported, secondary data reused or analyzed by the authors for the study, and any other materials necessary to reproduce or replicate the results. To ensure data accessibility, we encourage the use of open licenses for reuse of data, such as Creative Commons CC BY. You can learn more about standard reuse licenses at the Open Access Licensing Options page on the ACS Publications website.

...

Data repositories supporting peer-reviewed publications generally should meet the following criteria:

Ensure long-term persistence and preservation of datasets (minimum of 5 years after publication)

Be supported by a research community or research institution

Provide deposited datasets with stable and persistent identifiers, e.g., Digital Object Identifiers (DOIs)

Allow access to data without restrictions

Provide clear terms of data use and data access (or license) on each dataset landing page",Data sharing policy not mentioned in refereeing guidelines.,"https://pubs.acs.org/page/review/index.html

need to check this https://institute.acs.org/courses/acs-reviewer-lab.html",CIF ; ,CIF,Code sharing not mentioned.,,No mention of dependencies for research code.,,No mention of a persistent identifier or specifying a version of developed code.,,The journal policies do not mention any code quality standards.,,No mention of automatic testing to verify code functionality.,,No mention of standards for code documentation.,,No mention of linting standards for code.,,No mention of standards for code development such as continuous integration.,
12,ACS ,ACS Energy Letters,https://publish.acs.org/publish/data_policy ; https://publish.acs.org/publish/author_guidelines?coden=aelccp,Research Data Policy (RDP) exists.,"Research Data Policy
All ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication.

Research data is defined as materials and information used in the experiments that enable the validation of the conclusions drawn in the article, including primary data produced by the authors for the study being reported, secondary data reused or analyzed by the authors for the study, and any other materials necessary to reproduce or replicate the results.

The ACS Research Data Policy provides additional information on Data Availability Statements, Data Citation, and Data Repositories.",Data sharing encouraged but optional.,"Data Requirements
Authors are encouraged to report all data that are either necessary for reproduction of results or are reported in the manuscript’s figures, charts, and tables as Supporting Information (SI). Per ACS policy, the SI is immediately publicly available free of charge on the internet upon publication, regardless of whether or not the accompanying article is made open access. Resources are available on the ACS Publishing Center, including the ACS Math Style Sheet and NMR Guidelines.

",Public data sharing on a FAIR repository encouraged.,"Choosing an Appropriate Data Repository

Where possible, ACS recommends authors deposit data in discipline-specific, community-recognized repositories or in generalist repositories when no community resource is available. Authors should consult the journal Author Guidelines for specific repository recommendations or requirements for data types.

ACS strongly encourages authors to select a repository that issues a persistent unique identifier, such as a DOI or an Accession Number. This will help facilitate the discoverability and citation of deposited data. Repositories that focus on research data, are managed by a sustainable institution (such as a professional society or university), have a plan for long-term storage of and access to the data, and provide clear information about terms of use of the data are preferred.

To find an appropriate repository, authors may refer to re3data.org and FAIRsharing.org for information on available repositories, their certification status, and services offered.

...",Mentioned in the RDP but optional.,"Is a Data Availability Statement required for publication?
ACS is conducting a Data Availability Statement pilot program with Organic Letters, The Journal of Organic Chemistry, and ACS Organic & Inorganic Au. A Data Availability Statement is required for these three journals during the pilot program for all peer-reviewed articles. Manuscripts submitted to these journals prior to September 15, 2022 will not be included in the pilot. A Data Availability Statement is not required for other ACS journals at this time but is highly encouraged. With results from the pilot program, ACS will decide on future requirements for all its journals.

Is a Data Availability Statement required for every article?
A Data Availability Statement is required for all peer-reviewed articles in Organic Letters, The Journal of Organic Chemistry, and ACS Organic & Inorganic Au. A Data Availability Statement is not required for the following non-peer-reviewed articles, but is encouraged if new data are being presented: Addition/Correction, Editorial, Expression of Concern, or Retraction.
",DOIs or other persistent identifiers recommended for datasets or codes.,"Data Availability Statements
A Data Availability Statement should describe the availability of the data underlying the conclusions drawn in the research article and provide a means of access, where applicable, by linking to the data, preferably through the use of a persistent identifier such as a DOI or an Accession Number assigned by a data repository. The Data Availability Statement should be included in the manuscript under the Associated Content heading with the Supporting Information.
",Required data must be available after an embargo period.,"Research Data Policy
All ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication.

...

ACS Research Data Policy
Where ethically and legally feasible, all ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication. For the purposes of this policy, research data is defined as materials and information used in the experiments that enable the validation of the conclusions drawn in the article. This includes primary data produced by the authors for the study being reported, secondary data reused or analyzed by the authors for the study, and any other materials necessary to reproduce or replicate the results. To ensure data accessibility, we encourage the use of open licenses for reuse of data, such as Creative Commons CC BY. You can learn more about standard reuse licenses at the Open Access Licensing Options page on the ACS Publications website.

...

Exceptions
Exceptions to data availability requirements or embargoes delaying data release are available where legal or ethical issues prevent immediate public sharing. This includes data that may reveal personal information of research subjects, data where informed consent for public sharing was not granted, and other legitimate restrictions. In such cases, please contact the relevant journal editorial office to disclose the rationale and request an exception.",Public online repositories recommended in RDP.,"Choosing an Appropriate Data Repository
Where possible, ACS recommends authors deposit data in discipline-specific, community-recognized repositories or in generalist repositories when no community resource is available. Authors should consult the journal Author Guidelines for specific repository recommendations or requirements for data types.

ACS strongly encourages authors to select a repository that issues a persistent unique identifier, such as a DOI or an Accession Number. This will help facilitate the discoverability and citation of deposited data. Repositories that focus on research data, are managed by a sustainable institution (such as a professional society or university), have a plan for long-term storage of and access to the data, and provide clear information about terms of use of the data are preferred.

To find an appropriate repository, authors may refer to re3data.org and FAIRsharing.org for information on available repositories, their certification status, and services offered.
",Explicit mention of a certain license/license type in RDP.,"ACS Research Data Policy
Where ethically and legally feasible, all ACS journals strongly encourage authors to make the research data underlying their articles publicly available at the time of publication. For the purposes of this policy, research data is defined as materials and information used in the experiments that enable the validation of the conclusions drawn in the article. This includes primary data produced by the authors for the study being reported, secondary data reused or analyzed by the authors for the study, and any other materials necessary to reproduce or replicate the results. To ensure data accessibility, we encourage the use of open licenses for reuse of data, such as Creative Commons CC BY. You can learn more about standard reuse licenses at the Open Access Licensing Options page on the ACS Publications website.

...

Data repositories supporting peer-reviewed publications generally should meet the following criteria:

Ensure long-term persistence and preservation of datasets (minimum of 5 years after publication)

Be supported by a research community or research institution

Provide deposited datasets with stable and persistent identifiers, e.g., Digital Object Identifiers (DOIs)

Allow access to data without restrictions

Provide clear terms of data use and data access (or license) on each dataset landing page
",Data sharing policy not mentioned in refereeing guidelines.,,"No explicit mention, links to the following items are available 

Best Practices in Reporting Experimental Results

Teams of ACS editors have identified best practices in certain fields to guide Authors in the reporting of experimental results. Please refer to them, as needed:
Best Practices for the Reporting of Colloidal Inorganic Nanomaterials
Best Practices for Reporting on Energy Storage
Best Practices in Perovskite Solar Cell Efficiency Measurements. Avoiding the Error of Making Bad Cells Look Good
Best Practices for Reporting on Heterogeneous Photocatalysis
Best Practice in Photocatalysis: Comparing Rates or Apparent Quantum Yields?
How to Submit a Previously Rejected Manuscript to ACS Energy Letters
",,Code sharing not mentioned.,,No mention of dependencies for research code.,,No mention of a persistent identifier or specifying a version of developed code.,,The journal policies do not mention any code quality standards.,,No mention of automatic testing to verify code functionality.,,No mention of standards for code documentation.,,No mention of linting standards for code.,,No mention of standards for code development such as continuous integration.,
